               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.035142,            0.010291,           0.0061699,             0.70227,             0.91648,             0.81676,             0.63964,            0.016577,           0.0043098,            0.018038,           0.0065843,           0.0065843,           0.0065843
                 138,            0.033849,           0.0097407,           0.0086219,             0.76422,                0.75,             0.88067,               0.642,            0.014002,           0.0026834,            0.030288,           0.0065429,           0.0065429,           0.0065429
                 139,            0.032004,            0.010729,           0.0047096,             0.75095,                0.75,             0.85571,             0.54902,            0.015831,           0.0027801,            0.031497,           0.0065013,           0.0065013,           0.0065013
                 140,            0.030446,            0.009667,           0.0057544,             0.75007,             0.77781,             0.87805,             0.67753,            0.015471,           0.0030478,            0.028237,           0.0064597,           0.0064597,           0.0064597
                 141,             0.03114,            0.011052,           0.0048279,             0.65234,              0.9916,               0.995,             0.81844,             0.01166,           0.0024253,            0.029559,           0.0064181,           0.0064181,           0.0064181
                 142,            0.027766,            0.010229,           0.0042845,             0.76674,              0.7499,              0.9325,             0.60654,            0.014185,           0.0024867,            0.027017,           0.0063764,           0.0063764,           0.0063764
                 143,            0.029116,            0.010308,           0.0066815,             0.97137,                0.75,             0.93467,             0.64373,            0.016863,            0.002648,            0.019367,           0.0063347,           0.0063347,           0.0063347
                 144,            0.031483,           0.0096734,           0.0050973,             0.95593,                0.75,             0.94667,             0.77331,             0.01329,            0.002223,             0.01939,            0.006293,            0.006293,            0.006293
                 145,            0.032529,            0.009777,           0.0035107,             0.99962,             0.85593,             0.96833,             0.73427,             0.01374,           0.0019671,            0.011848,           0.0062512,           0.0062512,           0.0062512
                 146,            0.027656,           0.0095015,           0.0042837,             0.97287,             0.83281,             0.96083,             0.71857,            0.013639,           0.0016942,             0.01692,           0.0062093,           0.0062093,           0.0062093
                 147,            0.029361,           0.0096115,           0.0070608,             0.76522,             0.83323,                0.94,             0.73695,            0.011264,            0.001805,            0.023438,           0.0061675,           0.0061675,           0.0061675
                 148,              0.0305,            0.010258,           0.0039684,              0.4737,             0.83333,             0.85042,             0.49265,             0.01835,           0.0019363,             0.03234,           0.0061256,           0.0061256,           0.0061256
